State,Abbreviation,Adjusted Pay,Actual Pay,Strike,Clinton Votes,Trump Votes
Alabama,AL,57550,49781,no,718084,1306925
Alaska,AK,55011,67443,no,93007,130415
Arizona,AZ,46500,45477,yes,936250,1021154
Arkansas,AR,56135,48220,no,378729,677904
California,CA,57628,72842,no,7362490,3916209
Colorado,CO,50647,50039,yes,1208095,1136354
Connecticut,CT,58847,72013,no,884432,668266
Delaware,DE,60414,59085,no,235581,185103
District Of Columbia,DC,57432,75810,no,560223,11553
Florida,FL,51463,49199,no,4485745,4605515
Georgia,GA,59746,54190,no,1837300,2068623
Hawaii,HI,40246,57431,no,251853,121648
Idaho,ID,51837,45409,no,189677,407199
Illinois,IL,60555,61342,no,2977498,2118179
Indiana,IN,57696,50715,no,1031953,1556220
Iowa,IA,60868,54416,no,650790,798923
Kansas,KS,54301,49197,no,414788,656009
Kentucky,KY,60927,51666,yes,628834,1202942
Louisiana,LA,51926,46733,no,779535,1178004
Maine,ME,45374,50229,no,354873,334838
Maryland,MD,60937,66482,no,1497951,873646
Massachusetts,MA,63938,76981,no,1964768,1083069
Michigan,MI,71773,63878,no,2268193,2279805
Minnesota,MN,59779,56910,no,1366676,1322891
Mississippi,MS,52000,52744,no,462001,678457
Missouri,MO,53642,47849,no,1054889,1585753
Montana,MT,54426,51215,no,175521,274120
Nebraska,NE,56756,51364,no,273858,485819
Nevada,NV,57402,56943,no,537753,511319
New Hampshire,NH,51445,58802,no,348521,345789
New Jersey,NJ,61030,69330,no,2021756,1535513
New Mexico,NM,49750,47163,no,380724,315875
New York,NY,58004,77957,no,4143874,2640570
North Carolina,NC,52500,47985,yes,2162074,2339603
North Dakota,ND,52825,50237,no,95526,216133
Ohio,OH,63740,56410,no,2317001,2771984
Oklahoma,OK,51515,44921,yes,419788,947934
Oregon,OR,58145,60064,no,934631,742506
Pennsylvania,PA,63717,64991,no,2844705,2912941
Rhode Island,RI,57264,66197,no,249902,179421
South Carolina,SC,52878,48542,no,849469,1143611
South Dakota,SD,45679,42025,no,177442,227701
Tennessee,TN,56180,48708,no,867110,1517402
Texas,TX,56137,51758,no,3867816,4681590
Utah,UT,49668,46042,no,274188,452086
Vermont,VT,52356,58901,no,178179,95053
Virginia,VA,52191,50834,no,1916845,1731156
Washington,WA,50664,52539,no,1610524,1129120
West Virginia,WV,51199,45977,yes,187457,486198
Wisconsin,WI,58825,54766,no,1382210,1409467
Wyoming,WY,59425,57761,no,55949,174248
